0.5460 	WARNING 	Movie2 stim could not be imported and won't be available
213.0092 	EXP 	New trial (rep=0, index=6): {'RetDur': 5, 'BotBrack': 5, 'StimDur': 2, 'UpBrack': 123456, 'ProbeDurITI': 6, 'ProbeDur': 2, 'ProbeStart': 7, 'TrialDur': 9, 'ITI': 4, 'StimSet': 'BYLGJK', 'RetStart': 2, 'ProbeLet': 'nwtxbq', 'TrialITIDur': 13, 'Correct': 'down'}
213.0409 	EXP 	window1: recordFrameIntervals = False
213.0576 	EXP 	TopUpperLine: autoDraw = False
213.0576 	EXP 	BotUpperLine: autoDraw = False
213.0576 	EXP 	TopLowerLine: autoDraw = False
213.0576 	EXP 	BotLowerLine: autoDraw = False
213.0576 	EXP 	RestCrossHair: autoDraw = False
213.0576 	EXP 	TopUpperLine: autoDraw = False
213.0576 	EXP 	UpperText: autoDraw = False
213.0576 	EXP 	UpperBrackets: autoDraw = False
213.0576 	EXP 	BotUpperLine: autoDraw = False
213.0576 	EXP 	TopLowerLine: autoDraw = False
213.0576 	EXP 	LowerText: autoDraw = False
213.0576 	EXP 	LowerBrackets: autoDraw = False
213.0576 	EXP 	BotLowerLine: autoDraw = False
213.0576 	EXP 	TrialCrossHair: autoDraw = False
213.0576 	EXP 	RestCrossHair: autoDraw = False
213.0576 	EXP 	UpperText: text = ' B Y L G J K '
213.0576 	EXP 	UpperBrackets: text = '{           }'
213.0576 	EXP 	LowerText: text = ' n w t x b q '
213.0576 	EXP 	LowerBrackets: text = '        { }  '
213.0576 	EXP 	TopUpperLine: autoDraw = True
213.0576 	EXP 	UpperText: autoDraw = True
213.0576 	EXP 	UpperBrackets: autoDraw = True
213.0576 	EXP 	BotUpperLine: autoDraw = True
213.0576 	EXP 	TopLowerLine: autoDraw = True
213.0576 	EXP 	BotLowerLine: autoDraw = True
213.0576 	EXP 	TrialCrossHair: autoDraw = True
213.0579 	EXP 	window1: recordFrameIntervals = False
215.0251 	EXP 	UpperText: autoDraw = False
215.0251 	EXP 	UpperBrackets: autoDraw = False
220.0272 	EXP 	LowerText: autoDraw = True
220.0272 	EXP 	LowerBrackets: autoDraw = True
221.4119 	DATA 	Keypress: down
222.0278 	EXP 	LowerText: autoDraw = False
222.0278 	EXP 	LowerBrackets: autoDraw = False
222.0278 	EXP 	TrialCrossHair: autoDraw = False
222.0278 	EXP 	RestCrossHair: autoDraw = True
226.0138 	EXP 	New trial (rep=0, index=7): {'RetDur': 5, 'BotBrack': 0, 'StimDur': 2, 'UpBrack': 123456, 'ProbeDurITI': 4, 'ProbeDur': 0, 'ProbeStart': 7, 'TrialDur': 7, 'ITI': 4, 'StimSet': 'JYQLXH', 'RetStart': 2, 'ProbeLet': ' ', 'TrialITIDur': 11, 'Correct': 'none'}
226.0339 	EXP 	window1: recordFrameIntervals = False
226.0621 	EXP 	TopUpperLine: autoDraw = False
226.0621 	EXP 	BotUpperLine: autoDraw = False
226.0621 	EXP 	TopLowerLine: autoDraw = False
226.0621 	EXP 	BotLowerLine: autoDraw = False
226.0621 	EXP 	RestCrossHair: autoDraw = False
226.0621 	EXP 	TopUpperLine: autoDraw = False
226.0621 	EXP 	UpperText: autoDraw = False
226.0621 	EXP 	UpperBrackets: autoDraw = False
226.0621 	EXP 	BotUpperLine: autoDraw = False
226.0621 	EXP 	TopLowerLine: autoDraw = False
226.0621 	EXP 	LowerText: autoDraw = False
226.0621 	EXP 	LowerBrackets: autoDraw = False
226.0621 	EXP 	BotLowerLine: autoDraw = False
226.0621 	EXP 	TrialCrossHair: autoDraw = False
226.0621 	EXP 	RestCrossHair: autoDraw = False
226.0621 	EXP 	UpperText: text = ' J Y Q L X H '
226.0621 	EXP 	UpperBrackets: text = '{           }'
226.0621 	EXP 	LowerText: text = '   '
226.0621 	EXP 	LowerBrackets: text = ''
226.0621 	EXP 	TopUpperLine: autoDraw = True
226.0621 	EXP 	UpperText: autoDraw = True
226.0621 	EXP 	UpperBrackets: autoDraw = True
226.0621 	EXP 	BotUpperLine: autoDraw = True
226.0621 	EXP 	TopLowerLine: autoDraw = True
226.0621 	EXP 	BotLowerLine: autoDraw = True
226.0621 	EXP 	TrialCrossHair: autoDraw = True
226.0625 	EXP 	window1: recordFrameIntervals = False
228.0294 	EXP 	UpperText: autoDraw = False
228.0294 	EXP 	UpperBrackets: autoDraw = False
233.0313 	EXP 	LowerText: autoDraw = True
233.0313 	EXP 	LowerBrackets: autoDraw = True
233.0313 	EXP 	TrialCrossHair: autoDraw = False
233.0313 	EXP 	RestCrossHair: autoDraw = True
233.0480 	EXP 	LowerText: autoDraw = False
233.0480 	EXP 	LowerBrackets: autoDraw = False
